Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.123905080916601,0.0849038994359379,0.0505995438981258,0,0,0,2.91428056653758,0.00617409122645341,-7.15450905274627E-07,-1.26542370052897E-05,0.00553452148968598,-3.51329121715535E-07,0.0110503775267064,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,-0.0546933148939941,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056394E-08,-1.56454773175215E-07,1.62632133784213E-05,2.9641187651118E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.0540436140506676,0.182406433684605,0.0265000000000001,1.5707963267949,0,1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.015,0,3.46944695195361E-18,0,0,0,0.767080911081153,0.00116426102407189,4.45758864315272E-22,-1.82994146746971E-20,0.000639661580367031,-1.35525271560688E-20,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631527,-0.0698007864376269,0.0150436140506676,-1.62639053095063,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.054724936878019,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.6484530205632E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510424E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.103073017420291,-0.0427840297098062,0.0265,1.5707963267949,0,1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.767080911081152,0.00116426102407189,-1.2315168370675E-36,4.60638074444741E-39,0.000639661580367031,8.00462841683581E-39,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.0369687639379516,-0.0697992135623731,0.0640730174202912,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.7988246709707E-10,-0.0360357103914947,-1.16815018769145E-09,0,0,0,0.083535872081433,7.72968060896301E-05,-8.60478073467301E-13,1.40586674043926E-13,5.13820931926883E-05,-5.06559896269576E-12,7.73952626484254E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.201999999999999,0.228002793647758,0,1.5707963267949,0,1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,0,5.55111512312578E-17,0,0,0,0,0.300793834102321,0.000108556494727528,1.72053926402305E-55,1.86282862584916E-40,0.000109910066980988,-7.74861998833051E-40,0.000108556494727528,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,revolute,0,-0.0683,0,3.1416,0,1.5708,LBS,0,1,0,0,0,0,0,,,0.001,,,,,
RBS,-4.79882529547115E-10,-0.0360357103914948,-1.16815021544703E-09,0,0,0,0.083535872081433,7.72968060896302E-05,-8.6047810845422E-13,1.40586703451147E-13,5.13820931926882E-05,-5.06559895603098E-12,7.73952626484253E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,Axis_RBS,RBS,prismatic,-0.201999999999999,-0.0620027936477575,0,1.5707963267949,0,1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,6.93889390390723E-18,-6.93889390390723E-18,0,0,0,0,0.300793834102321,0.000108556494727528,0,2.6460766815662E-40,0.000109910066980988,-7.74861998833051E-40,0.000108556494727528,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,revolute,0,-0.0683,0,0,0,-1.5708,RBS,0,1,0,0,0,0,0,,,0.001,,,,,
fcam,-0.0115544746517359,-2.64429642848896E-06,0.00129029302682179,0,0,0,0.0436119957238952,2.35707061906175E-05,-1.01842273865773E-09,2.17585832536658E-08,4.29479050056035E-06,-8.8501811875969E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
